candidate_rank,frame_index,folder_name,timestamp,oe,le,total_occ,total_le,fop,flp,v2x_gen_score
682,835,trans_M1,001657,2,1,11,5,1.0856426000000001,0.4485215406776366,0.7670820703388184
683,2968,trans_M3,001958,2,1,9,4,0.8042326800000001,0.7294287015858469,0.7668306907929235
684,2232,trans_M3,000489,3,3,10,6,0.59291364,0.9390458938641001,0.76597976693205
685,365,trans_M1,000729,5,0,19,0,0.70227616,0.8268388603908834,0.7645575101954417
686,2670,trans_M3,001350,3,2,11,3,0.7666228800000001,0.7623698903482592,0.7644963851741297
687,2508,trans_M3,001027,2,1,10,9,0.6715838799999999,0.8569960340994356,0.7642899570497177
688,1969,trans_M2,001950,2,1,9,4,0.8732062800000001,0.6536787615400117,0.763442520770006
689,677,trans_M1,001345,3,3,11,5,0.41622488,1.1101315859462546,0.7631782329731274
690,2816,trans_M3,001641,2,1,10,5,1.07945264,0.4465033595196276,0.7629779997598138
691,1302,trans_M2,000621,3,0,14,1,0.48970028,1.0361046632329676,0.7629024716164838
692,2333,trans_M3,000680,4,0,13,0,0.9450000000000001,0.5792090045661535,0.7621045022830768
693,947,trans_M1,001896,2,1,8,4,0.9721213599999998,0.552050693365411,0.7620860266827054
694,819,trans_M1,001629,2,0,10,6,1.13305272,0.39079673882870275,0.7619247294143514
695,1255,trans_M2,000532,0,5,0,6,0.0,1.5229564883104567,0.7614782441552284
696,2251,trans_M3,000532,0,5,0,6,0.0,1.5229564883104567,0.7614782441552284
697,259,trans_M1,000532,0,5,0,6,0.0,1.5229564883104565,0.7614782441552282
698,2327,trans_M3,000668,5,1,17,1,0.43939632,1.083142650788982,0.761269485394491
699,1893,trans_M2,001786,2,1,11,5,1.07622508,0.446301766915176,0.7612634234575879
700,1405,trans_M2,000821,3,2,11,3,0.40246951999999997,1.1200091530258138,0.7612393365129069
701,679,trans_M1,001350,3,2,13,4,0.75910156,0.7623698903482592,0.7607357251741296
702,305,trans_M1,000620,3,0,15,1,0.48875928,1.0320283534570898,0.7603938167285449
703,2521,trans_M3,001060,1,3,4,11,0.25630696000000003,1.2644544480079336,0.7603807040039668
704,1975,trans_M2,001962,3,1,9,4,0.6929511600000001,0.8277178566032128,0.7603345083016064
